Candidate Id,Employee Id,First Name,Middle Name,Last Name,DegreePercentage,12th/DiplomaPercentage,SSCPercentage,University Name,Native State,Background(CS\NCS),Industrial Training,TrainingExam1Percentage,Exam1Grade,TrainingExam2Percentage,Exam2Grade,IntoProduction,Channel
C0001,E0001,Supriyo,,,74.4,75,79,VTU  ,Madhya Pradesh,CS,Y,86,A,81,A,1,Campus Recruitment
C0002,E0002,Shailendra,Kumar,,72.55,75.77,80.1,RGPRV,Madhya Pradesh,CS,Y,78,B,0,C,0,Walk in Interviews
C0003,E0003,Prameet,,,73.7,72.6,80.4,RGPRV,Madhya Pradesh,CS,Y,91,A,88,A,1,Online
C0004,,Priyank,Kumar,,77.15,76.44,84.4,RGPRV,Madhya Pradesh,CS,Y,,,,,,Campus Recruitment
C0005,,Aarti,,,75.1,65.2,88.4,RGPRV,Madhya Pradesh,CS,Y,,,,,,Referral
C0006,E0006,Gaurav,,,68.65,78.67,87.2,RGPRV,Madhya Pradesh,CS,Y,80,A,85,A,1,Campus Recruitment
C0007,E0007,Shraddha,,,72.6,77.6,80.6,RGPRV,Madhya Pradesh,CS,Y,86,A,97,A,1,Campus Recruitment
C0008,E0008,Prachi,,,71.68,64,88.29,RGPRV,Madhya Pradesh,CS,Y,90,A,85,A,1,Campus Recruitment
C0009,,Shankey,,,66.1,63.6,61.33,HPUNS,Madhya Pradesh,CS,Y,,,,,,Referral
C0010,E0010,Prateek,,,78.37,68.61,86.4,RGPRV,Madhya Pradesh,CS,Y,74,B+,93,A,1,Campus Recruitment
C0011,E0011,Neha,,,79.3,74.2,86.4,RGPRV,Madhya Pradesh,CS,Y,75,B+,90,A,1,Walk in Interviews
,,Rahul,,,65.05,85.33,91,RGPRV,Madhya Pradesh,,,,,,,,Walk in Interviews
C0013,E0013,K,Guru,,75.5,77.5,79.9,RGPRV,Madhya Pradesh,CS,Y,91,A,89,A,1,Walk in Interviews
C0014,E0014,Manoj,,,68.7,74.2,76.6,RGPRV,Madhya Pradesh,CS,N,92,A,87,A,1,Campus Recruitment
C0015,E0015,Sushant,,,67.6,67.6,65,RGPRV,Madhya Pradesh,CS,Y,77,B+,78,B+,1,Walk in Interviews
,,Tanuj,,,71.67,84,80.6,RGPRV,Madhya Pradesh,,,,,,,,Referral
C0017,,Sreekanth,Cheriyanath,,77.54,80.4,78.6,CALT ,Kerala,CS,N,,,,,,Online
,,Rishy,,,71.2,79,87,CALT ,Kerala,,,,,,,,Online
C0019,,Chinnu,Elsa,,70.7,80.8,92.5,CALT ,Kerala,CS,N,,,,,,Online
,,Sruthi,Lakshmanan,,64.3,82.66,76.8,CALT ,Kerala,,,,,,,,Referral
C0021,E0021,Sapnu,Sangeet,,68.26,86.5,88.83,CALT ,Kerala,CS,N,60,C,63,C,0,Online
C0022,E0022,Sumi,V,,73.2,79.67,91.6,CALT ,Kerala,CS,N,65,B,66,B,1,Referral
C0023,E0023,Neethu,,,69.88,86.5,85.5,CALT ,Kerala,CS,N,76,B+,80,A,1,Online
C0024,E0024,Aswathi,Davies,,72.7,84.8,84.4,CALT ,Kerala,CS,N,93,A,80,A,1,Referral
C0025,E0025,Sruthi,Saseendran,,72.52,74.4,87.73,CALT ,Kerala,CS,N,85,A,82,A,1,Online
,,Chris,,,80.71,81.8,86.8,CALT ,Kerala,,,,,,,,Online
C0027,,Tinu,K,,70.67,86.3,91.8,CALT ,Kerala,CS,N,,,,,,Referral
C0028,E0028,Dinphy,Jose,,73.47,83.83,91.67,CALT ,Kerala,CS,N,81,A,88,A,1,Campus Recruitment
C0029,E0029,Anish Joseph,,,66.37,91.33,88.83,CALT ,Kerala,CS,N,76,B+,84,A,1,Referral
C0030,,Shiny,,,71.3,77,75.2,CALT ,Kerala,CS,N,,,,,,Campus Recruitment
C0031,E0031,Deependra,Singh,,71.5,84.4,85.4,RGPRV,Madhya Pradesh,CS,N,90,A,75,B+,1,Online
C0032,E0032,Kamran,Ali,,74.05,83.8,88,RGPRV,Madhya Pradesh,CS,N,91,A,94,A,1,Walk in Interviews
C0033,E0033,Harshvardhan,,,69.12,83,81,RGPRV,Madhya Pradesh,CS,N,95,A,86,A,1,Referral
C0034,,Vartika,,,82.2,76.4,89,RGPRV,Madhya Pradesh,CS,N,,,,,,Campus Recruitment
C0035,E0035,Vinita,,,75.45,83.11,84.2,RGPRV,Madhya Pradesh,CS,N,84,A,87,A,1,Referral
C0036,E0036,Rachita,,,72.7,80.2,86.8,RGPRV,Madhya Pradesh,CS,N,70,B,76,B+,1,Campus Recruitment
C0037,E0037,Sana,,,68.07,70.6,81.6,RGPRV,Madhya Pradesh,CS,N,74,B+,89,A,1,Online
C0038,,Ajay,,,74.85,78,82.4,RGPRV,Madhya Pradesh,CS,N,,,,,,Campus Recruitment
C0039,,Devika,,,78.67,79.2,82.4,RGPRV,Madhya Pradesh,CS,N,,,,,,Referral
C0040,,Vikram,Pal,,68.92,65.4,67.2,RGPRV,Madhya Pradesh,CS,N,,,,,,Referral
C0041,E0041,Tarun,Singh,,71.15,79.55,84.6,RGTUN,Madhya Pradesh,CS,N,90,A,84,A,1,Walk in Interviews
,,Geeta,,,70.57,74,71.8,RGPRV,Madhya Pradesh,,,,,,,,Online
C0043,E0043,Mohi,,,73.4,84.2,88.4,RGPRV,Madhya Pradesh,CS,N,87,A,85,A,1,Campus Recruitment
C0044,,Mayank,,,73.67,74.2,84.4,RGTUN,Madhya Pradesh,CS,N,,,,,,Referral
,,Neha,,,74.9,83.8,84.4,RGPRV,Madhya Pradesh,,,,,,,,Campus Recruitment
,,Priyadarshi,,,68.12,76.2,89.8,RGPRV,Madhya Pradesh,,,,,,,,Campus Recruitment
,,Nibin,Kolliyottil,,67.09,73.8,86.5,CALT ,Kerala,,,,,,,,Campus Recruitment
C0048,,Alan,,A,78,90,74,HNBGU,Kerala,CS,N,,,,,,Referral
,,Anita,,A,65.4,83.2,92.2,CALT ,Kerala,,,,,,,,Campus Recruitment
C0050,,Drisya,,A,74.4,90.33,92.45,CALT ,Kerala,CS,N,,,,,,Walk in Interviews
,,Princy,Mol,A V,69.85,82,77,HNBGU,Kerala,,,,,,,,Walk in Interviews
,,Varun,,A V,72.26,77.8,81.6,MADUN,Haryana,,,,,,,,Walk in Interviews
,,Rashi,,Abdul Hakkim,66.45,66,78.6,MADUN,Haryana,,,,,,,,Campus Recruitment
,,Ayush,,Abdul Karim,69.88,73,80.3,MADUN,Haryana,,,,,,,,Walk in Interviews
,,Dinesh,,Abichandani,73,72.4,79,MADUN,Haryana,,,,,,,,Referral
C0056,E0056,Deeksha,,Abraham,74.5,84,86,MADUN,Haryana,CS,N,77,B+,96,A,1,Online
C0057,E0057,Bharat,,Abraham,70.2,76.6,79.4,MADUN,Haryana,CS,N,91,A,95,A,1,Online
,,Kapil,,Abraham,67.25,75,74.2,MADUN,Haryana,,,,,,,,Online
C0059,E0059,Manish,,Abraham,73.15,74.5,81.2,MADUN,Haryana,CS,N,93,A,93,A,1,Campus Recruitment
C0060,E0060,Pallavi,,Abraham,69.59,79.6,82.6,MADUN,Haryana,CS,N,87,A,78,B+,1,Online
,,Anita,,Abraham,72.15,72.2,75.2,MADUN,Haryana,,,,,,,,Referral
